X,Y,OBJECTID,NUM,NAME,ADDRESS
1452185.0406018,541059.752062723,1,1,FIRE STATION 1,221 N Myers St
1445032.96533905,536898.336172983,2,2,FIRE STATION 2,1817 South Bv
1474864.51886481,524931.593374223,3,3,FIRE STATION 3,6512 Monroe Rd
1450883.16361238,544414.732557476,4,4,FIRE STATION 4,525 N Church St
1444248.24446756,546443.842672482,5,5,FIRE STATION 5,224  Wesley Heights Wy
1455673.03034496,533659.813122481,6,6,FIRE STATION 6,249 S Laurel Av
1461079.99262814,549754.025028482,7,7,FIRE STATION 7,3210 N Davidson St
1459084.34963781,539457.839584142,8,8,FIRE STATION 8,1201 The Plaza
1473069.22685172,483119.299046233,9,9,FIRE STATION 9,4529 McKee Rd
1436322.82429481,542054.42658256,10,10,FIRE STATION 10,2810 Wilkinson Bv
1455265.93240589,551524.876801729,11,11,FIRE STATION 11,620 W 28th St
1439710.98845021,523373.41866906,12,12,FIRE STATION 12,420 Inwood Dr
1435296.92149097,554097.052431643,13,13,FIRE STATION 13,4337 Glenwood Dr
1462911.97551271,523797.469002068,14,14,FIRE STATION 14,114 N Sharon Amity Rd
1469950.90828522,546088.043843389,15,15,FIRE STATION 15,3617 Frontenac Av
1447691.77498205,511036.250101984,16,16,FIRE STATION 16,6623 Park South Dr
1422972.6009953,538158.992444307,17,17,FIRE STATION 17,5308 Morris Field Dr
1445985.08777864,556634.871831059,18,18,FIRE STATION 18,2337 Dr Webber Av
1467191.07292564,510031.3935159,19,19,FIRE STATION 19,1016 Sardis Ln
1434095.95834172,507435.444639564,20,20,FIRE STATION 20,9400 Nations Ford Rd
1420903.47422805,557022.349730641,21,21,FIRE STATION 21,1023 Little Rock Rd
1464128.96651706,565000.325244471,22,22,FIRE STATION 22,1917 W Sugar Creek Rd
1485278.67979497,539248.004701972,23,23,FIRE STATION 23,7400 E W T Harris Bv
1449909.2124763,491868.541390225,24,24,FIRE STATION 24,7132 Pineville-Matthews Rd
1429750.19603589,572524.833489388,25,25,FIRE STATION 25,6741 Pleasant Grove Rd
1419932.25602613,508659.809972972,26,26,FIRE STATION 26,9231 S Tryon St
1477891.90815122,569806.60106498,27,27,FIRE STATION 27,111 Ken Hoffman Dr
1455409.81532022,580726.269186229,28,28,FIRE STATION 28,8031 Old Statesville Rd
1480901.04320906,519315.96024856,29,29,FIRE STATION 29,2121 Margaret Wallace Rd
1421708.10614897,530543.991598234,30,30,FIRE STATION 30,4707 Belle-Oaks Dr
1474096.83011147,595770.819805726,31,31,FIRE STATION 31,3820 Ridge Rd
1453620.04527771,476270.650998145,32,32,FIRE STATION 32,9225 Bryant Farms Rd
1413911.43178172,575403.939607814,33,33,FIRE STATION 33,2001 Mt Holly-Huntersville Rd
1487436.45763163,559845.899857804,34,34,FIRE STATION 34,2824 Rocky River Rd
1489228.53902122,576532.733938143,35,35,FIRE STATION 35,1120 Pavilion Bv
1474819.01469073,582512.618959978,36,36,FIRE STATION 36,2325 W Mallard Creek Church Rd
1401069.89381656,496039.068810314,37,37,FIRE STATION 37,13828 S Tryon St
1400914.37772338,513755.965134978,38,38,FIRE STATION 38,12100 Shopton Rd West
1468711.61942522,493982.020759061,39,39,FIRE STATION 39,8325 Providence Rd
1502661.01314047,546356.627295733,40,40,FIRE STATION 40,9720 Harrisburg Rd
1414895.48132281,536546.372309983,41,41,FIRE STATION 41,5740 West Bv
1476903.28578463,534351.74579373,42,42,FIRE STATION 42,5620 Central Av
1438770.58580346,531618.90184997,43,43,FIRE STATION 43,421 Clanton Rd
